iter	Passed	Remaining
0	158	31445
1	165	16362
2	189	12412
3	195	9582
4	203	7926
5	210	6808
6	217	5993
7	224	5391
8	231	4905
9	237	4516
10	244	4201
11	251	3934
12	257	3710
13	264	3513
14	270	3342
15	277	3193
16	284	3060
17	290	2941
18	297	2833
19	304	2737
20	310	2649
21	317	2567
22	323	2493
23	330	2423
24	337	2360
25	344	2303
26	350	2246
27	357	2195
28	363	2145
29	370	2100
30	377	2056
31	383	2013
32	390	1977
33	397	1940
34	404	1907
35	411	1872
36	417	1841
37	425	1815
38	434	1794
39	444	1779
40	454	1763
41	464	1748
42	473	1729
43	496	1759
44	508	1751
45	518	1735
46	527	1717
47	537	1701
48	542	1672
49	551	1654
50	560	1637
51	568	1618
52	577	1601
53	587	1588
54	597	1576
55	607	1560
56	617	1549
57	626	1532
58	634	1517
59	643	1501
60	651	1485
61	660	1469
62	668	1454
63	677	1438
64	685	1423
65	693	1408
66	699	1388
67	707	1372
68	714	1357
69	721	1340
70	728	1323
71	734	1306
72	741	1290
73	748	1273
74	754	1257
75	760	1241
76	766	1225
77	773	1209
78	779	1194
79	786	1179
80	792	1164
81	799	1150
82	806	1136
83	812	1121
84	818	1106
85	824	1092
86	830	1078
87	836	1064
88	842	1051
89	849	1038
90	855	1025
91	862	1012
92	868	999
93	875	987
94	882	974
95	888	962
96	894	950
97	901	937
98	908	926
99	914	914
100	921	902
101	927	890
102	933	879
103	942	870
104	950	860
105	958	849
106	965	839
107	978	833
108	986	823
109	994	813
110	1001	803
111	1009	793
112	1018	784
113	1026	774
114	1033	764
115	1041	754
116	1047	742
117	1060	736
118	1081	735
119	1090	727
120	1097	716
121	1106	707
122	1113	697
123	1122	688
124	1127	676
125	1136	667
126	1144	657
127	1152	648
128	1161	639
129	1170	630
130	1178	620
131	1187	611
132	1195	602
133	1204	593
134	1212	583
135	1237	582
136	1247	573
137	1255	564
138	1260	553
139	1267	543
140	1273	533
141	1280	523
142	1287	513
143	1293	503
144	1298	492
145	1304	482
146	1311	472
147	1317	462
148	1323	452
149	1329	443
150	1335	433
151	1341	423
152	1346	413
153	1350	403
154	1357	394
155	1363	384
156	1369	375
157	1376	366
158	1385	357
159	1393	348
160	1401	339
161	1409	330
162	1414	321
163	1422	312
164	1430	303
165	1439	294
166	1444	285
167	1453	276
168	1460	267
169	1467	259
170	1475	250
171	1483	241
172	1491	232
173	1501	224
174	1509	215
175	1518	207
176	1526	198
177	1532	189
178	1540	180
179	1548	172
180	1556	163
181	1564	154
182	1571	145
183	1579	137
184	1586	128
185	1592	119
186	1599	111
187	1606	102
188	1612	93
189	1619	85
190	1625	76
191	1631	67
192	1638	59
193	1644	50
194	1650	42
195	1656	33
196	1662	25
197	1668	16
198	1675	8
199	1681	0
